x	EXP	NUM
0.0189	0.00025	-0.004
0.0407	-0.00041	-0.00405
0.1581	-0.00206	-0.00427
0.3658	0.00044	-0.00403
0.3774	0.0006	-0.00397
0.5636	0.00262	-0.00255
0.7215	0.0046	-0.00131
0.9076	0.00922	-0.00068
1.0656	0.01575	3e-05
1.2517	0.01451	0.00189
1.3953	0.01137	0.00269
1.6535	0.00447	8e-05
1.9977	-0.00551	-0.00252
2.17	-0.0104	-0.01654
2.2563	-0.01261	-0.02354
2.4856	-0.01694	-0.0355
2.5578	-0.01951	-0.03929
2.8013	-0.02875	-0.04956
2.931	-0.032	-0.05372
3.0952	-0.03235	-0.05399
3.1455	-0.03135	-0.05758
3.2609	-0.02697	-0.06158
3.432	-0.01555	-0.04106
3.4468	-0.01407	-0.0379
3.5186	-0.00426	-0.01692
3.5465	-0.0022	-0.00765
3.6893	0.00647	0.01997
3.69	0.00652	0.02001
3.8434	0.01993	0.01398
3.8883	0.02475	0.01228
3.9474	0.03158	0.01999
4.0469	0.04231	0.05943
4.0473	0.04234	0.05964
4.1466	0.04852	0.09099
4.1949	0.04962	0.09563
4.377	0.04631	0.10382
4.4044	0.04575	0.10416
4.5642	0.04255	0.09686
4.6629	0.04022	0.08446
4.7213	0.03846	0.07378
4.7455	0.03756	0.06954
4.8363	0.03258	0.0505
4.8822	0.02833	0.01821
4.891	0.02732	0.0144
4.9725	0.01739	-0.00812
4.9805	0.01656	-0.01016
5.0816	0.0064	-0.04039
5.1237	0.00168	-0.05382
5.1827	-0.00574	-0.07193
5.3124	-0.02405	-0.10216
5.325	-0.02591	-0.10424
5.4977	-0.05219	-0.12107
5.5265	-0.05744	-0.12175
5.5423	-0.05967	-0.12186
5.7279	-0.08504	-0.11232
5.8143	-0.09536	-0.10343
5.9003	-0.09817	-0.09262
6.0002	-0.094	-0.07712
6.1437	-0.08106	-0.05004
6.1572	-0.07939	-0.04688
6.2569	-0.06438	-0.01663
6.3151	-0.05344	0.00087
6.3567	-0.04449	0.01098
6.3579	-0.04423	0.01127
6.4863	-0.0153	0.0374
6.4994	-0.01152	0.03992
6.5626	0.01007	0.05232
6.5851	0.01554	0.05701
6.6615	0.03078	0.07302
6.7278	0.0476	0.08595
6.7287	0.04782	0.0861
6.857	0.07807	0.10173
6.8995	0.08557	0.10437
6.9762	0.09375	0.10796
7.1003	0.09913	0.11136
7.2148	0.10681	0.11097
7.2379	0.10785	0.11019
7.3824	0.10786	0.09568
7.4161	0.10674	0.08863
7.4819	0.09958	0.06699
7.5028	0.09524	0.05841
7.5895	0.07588	0.02686
7.6	0.07392	0.02302
7.6906	0.05981	-0.00337
7.745	0.05074	-0.01012
7.8087	0.02922	-0.01478
7.8188	0.026	-0.0155
7.8911	0.00585	-0.02596
7.9063	0.00084	-0.02964
7.9779	-0.02569	-0.04964
8.0218	-0.0385	-0.06381
8.05	-0.0454	-0.07453
8.0942	-0.0563	-0.09536
8.1798	-0.07563	-0.12663
8.1809	-0.07585	-0.1269
8.2812	-0.09083	-0.14338
8.3534	-0.10565	-0.1466
8.381	-0.11235	-0.14462
8.4819	-0.12632	-0.11899
8.4964	-0.12687	-0.11418
8.5959	-0.12813	-0.08874
8.7688	-0.12291	-0.06391
8.7817	-0.12195	-0.06243
8.9402	-0.09529	-0.04502
8.9963	-0.08053	-0.03744
9.0542	-0.06504	-0.02639
9.1247	-0.04683	-0.00851
9.1398	-0.04268	-0.00481
9.2395	-0.01244	0.01738
9.2531	-0.00794	0.02043
9.3249	0.01386	0.03707
9.3815	0.02766	0.04936
9.4389	0.0441	0.05815
9.4881	0.06828	0.06165
9.4882	0.06831	0.06166
9.5962	0.08237	0.06651
9.6391	0.09518	0.07041
9.641	0.09562	0.07063
9.7387	0.10723	0.0845
9.825	0.1174	0.09541
9.8843	0.12297	0.09918
9.9932	0.12436	0.09979
10.0251	0.12303	0.09868
10.0688	0.12069	0.09148
10.1699	0.11285	0.06126
10.1827	0.1114	0.05618
10.2423	0.10079	0.02971
10.2839	0.0915	0.01505
10.3291	0.08243	-0.00315
10.3663	0.07533	-0.0186
10.4423	0.06128	-0.01986
10.5144	0.04551	-0.02123
10.5733	0.02944	-0.02416
10.6298	0.01397	-0.0308
10.702	-0.00575	-0.04813
10.7174	-0.01002	-0.05307
10.8041	-0.0338	-0.0833
10.8174	-0.03729	-0.08846
10.8475	-0.04366	-0.09907
10.8606	-0.04649	-0.10326
10.9485	-0.06756	-0.1293
10.9904	-0.07671	-0.1389
11.0195	-0.0825	-0.1436
11.1354	-0.1022	-0.14769
11.1487	-0.10431	-0.14539
11.2494	-0.11811	-0.11613
11.2638	-0.11942	-0.12007
11.2925	-0.12138	-0.11014
11.3491	-0.12306	-0.0872
11.4488	-0.1223	-0.05564
11.4617	-0.12203	-0.0538
11.5775	-0.11734	-0.05246
11.6078	-0.11478	-0.05541
11.707	-0.10231	-0.06088
11.7651	-0.09242	-0.05079
11.8211	-0.08055	-0.03195
11.892	-0.06255	0.00093
11.8934	-0.06218	0.00156
11.9917	-0.03547	0.03248
12.0217	-0.02667	0.03852
12.1214	0.00489	0.05439
12.1631	0.01632	0.06011
12.2354	0.03382	0.06933
12.3638	0.06275	0.08369
12.3777	0.06597	0.0851
12.5636	0.10747	0.10011
12.6497	0.12224	0.10221
12.7925	0.12983	0.09163
12.851	0.12701	0.0812
12.952	0.1178	0.05097
13.0368	0.1075	0.0201
13.0388	0.10725	0.01943
13.0656	0.10225	0.01068
13.1542	0.08598	-0.0108
13.224	0.07334	-0.01779
13.2931	0.05997	-0.0167
13.3536	0.04574	-0.01021
13.4265	0.02461	-0.00684
13.4547	0.01552	-0.0104
13.4981	-0.00026	-0.02132
13.5419	-0.0146	-0.03706
13.5992	-0.0318	-0.06128
13.6143	-0.03604	-0.06861
13.6867	-0.05433	-0.10015
13.7145	-0.06071	-0.10873
13.7878	-0.07657	-0.13169
13.8199	-0.08316	-0.14503
13.8586	-0.09093	-0.14644
13.9746	-0.11172	-0.14482
14.0458	-0.121	-0.12641
14.0888	-0.1251	-0.10963
14.1312	-0.12804	-0.09486
14.2165	-0.13126	-0.0633
14.2513	-0.13164	-0.0481
14.3881	-0.12782	-0.04356
14.39	-0.1277	-0.04364
14.5604	-0.10795	-0.05144
14.5902	-0.10271	-0.04813
14.633	-0.09087	-0.03546
14.6601	-0.08233	-0.02119
14.7308	-0.06119	0.02351
14.7327	-0.06063	0.02446
14.7611	-0.05011	0.0368
14.8161	-0.02929	0.05507
14.8464	-0.01855	0.06246
14.8991	-0.00117	0.06707
14.9461	0.01301	0.06849
15.0601	0.04457	0.07058
15.0738	0.04836	0.07086
15.197	0.08138	0.07703
15.2454	0.09323	0.08099
15.3458	0.11298	0.09061
15.4169	0.12085	0.09906
15.4584	0.1228	0.10273
15.5754	0.12179	0.10284
15.6037	0.12085	0.09983
15.7182	0.11298	0.06867
15.7192	0.11289	0.06829
15.7915	0.10553	0.04069
15.8782	0.0959	0.00914
15.9338	0.08934	-0.01167
15.9936	0.08052	-0.02108
16.0202	0.07489	-0.02347
16.1642	0.04466	-0.03221
16.2665	0.02116	-0.03947
16.294	0.01444	-0.04293
16.3675	-0.00433	-0.06838
16.4094	-0.01579	-0.08557
16.4543	-0.02886	-0.10124
16.5104	-0.04602	-0.1203
16.5537	-0.05785	-0.13237
16.5554	-0.05822	-0.13278
16.6834	-0.08676	-0.14968
16.6926	-0.08888	-0.14976
16.8188	-0.11692	-0.1365
16.8563	-0.12386	-0.11961
16.8707	-0.12618	-0.11164
16.9416	-0.13334	-0.08805
17.0085	-0.13565	-0.07569
17.1417	-0.13755	-0.06174
17.1578	-0.13667	-0.06066
17.3579	-0.11036	-0.04797
17.3851	-0.10466	-0.04463
17.4705	-0.08061	-0.01307
17.472	-0.08012	-0.01202
17.5131	-0.06737	0.00402
17.5717	-0.04987	0.02381
17.5984	-0.04188	0.03558
17.6981	-0.01197	0.06582
17.7426	0.00141	0.0695
17.8422	0.03297	0.07505
17.9524	0.06815	0.08075
17.9845	0.07552	0.08294
18.0873	0.09549	0.09528
18.1561	0.10937	0.10267
18.1846	0.11319	0.10441
18.4281	0.12636	0.10405
18.4286	0.12635	0.10401
18.544	0.11976	0.07247
18.6164	0.11201	0.04092
18.6867	0.10271	0.01589
18.7032	0.10038	0.00938
18.8042	0.08483	-0.02085
18.8594	0.07512	-0.02789
19.0035	0.0449	-0.04355
19.0199	0.04085	-0.04581
19.1189	0.01467	-0.06977
19.1353	0.01054	-0.07604
19.2054	-0.00636	-0.10026
19.222	-0.01062	-0.10495
19.3208	-0.03658	-0.12809
19.3517	-0.04424	-0.13386
19.4505	-0.06681	-0.14382
19.4658	-0.07009	-0.14373
19.5803	-0.09572	-0.13006
19.581	-0.09592	-0.1299
19.6811	-0.11543	-0.10309
19.695	-0.11681	-0.09834
19.7947	-0.1247	-0.06809
19.9516	-0.13498	-0.0559
19.954	-0.13513	-0.0558
